timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:50:24.780,5,89,48980,81559,28,144.06,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:50:24.783,6,91,48932,81559,30,148.39,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:50:24.789,7,82,48500,81559,27,145.70,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:50:26.252,0,13,48222,81559,31,148.29,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:50:26.259,1,81,48198,81559,33,145.69,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:50:26.263,2,88,48150,81559,29,148.60,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:50:26.268,3,83,47718,81559,30,149.81,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:50:26.274,4,86,48836,81559,32,146.05,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:50:26.278,5,82,48980,81559,28,143.87,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:50:26.281,6,81,48932,81559,30,149.53,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:50:26.284,7,89,48500,81559,27,145.32,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
