timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 11:47:05.090,1,0,25523,81559,30,118.87,
2026/02/02 11:47:05.092,2,0,25523,81559,28,120.69,
2026/02/02 11:47:05.094,3,0,25171,81559,27,119.72,
2026/02/02 11:47:05.095,4,0,25781,81559,30,117.93,
2026/02/02 11:47:05.096,5,0,25829,81559,27,116.79,
2026/02/02 11:47:05.097,6,0,25829,81559,27,120.14,
2026/02/02 11:47:05.098,7,0,25469,81559,25,116.18,
2026/02/02 11:47:06.251,0,0,25475,81559,28,119.33,
2026/02/02 11:47:06.257,1,0,25523,81559,30,118.91,
2026/02/02 11:47:06.259,2,0,25523,81559,28,120.67,
2026/02/02 11:47:06.260,3,0,25171,81559,27,119.89,
2026/02/02 11:47:06.261,4,0,25781,81559,30,117.90,
2026/02/02 11:47:06.262,5,0,25829,81559,27,116.81,
2026/02/02 11:47:06.263,6,0,25829,81559,27,120.18,
2026/02/02 11:47:06.263,7,0,25469,81559,25,116.18,
2026/02/02 11:47:07.511,0,0,25475,81559,28,119.37,
2026/02/02 11:47:07.516,1,0,25523,81559,30,118.93,
2026/02/02 11:47:07.525,2,0,25523,81559,28,120.69,
2026/02/02 11:47:07.533,3,0,25171,81559,27,119.93,
2026/02/02 11:47:07.536,4,0,25781,81559,30,117.94,
2026/02/02 11:47:07.541,5,0,25829,81559,27,116.81,
2026/02/02 11:47:07.550,6,0,25829,81559,27,120.15,
2026/02/02 11:47:07.558,7,0,25469,81559,25,116.17,
2026/02/02 11:47:08.752,0,0,25475,81559,28,119.33,
2026/02/02 11:47:08.761,1,0,25523,81559,30,118.92,
2026/02/02 11:47:08.771,2,0,25523,81559,28,120.67,
2026/02/02 11:47:08.775,3,0,25171,81559,27,120.03,
2026/02/02 11:47:08.780,4,0,25781,81559,30,117.97,
2026/02/02 11:47:08.791,5,0,25829,81559,27,116.83,
2026/02/02 11:47:08.801,6,0,25829,81559,27,120.19,
2026/02/02 11:47:08.813,7,0,25469,81559,25,116.23,
2026/02/02 11:47:09.983,0,0,25475,81559,28,119.32,
2026/02/02 11:47:09.994,1,0,25523,81559,30,118.96,
2026/02/02 11:47:09.999,2,0,25523,81559,28,120.68,
2026/02/02 11:47:10.009,3,0,25171,81559,27,120.00,
2026/02/02 11:47:10.019,4,0,25781,81559,30,117.93,
2026/02/02 11:47:10.031,5,0,25829,81559,27,116.78,
2026/02/02 11:47:10.036,6,0,25829,81559,27,120.23,
2026/02/02 11:47:10.043,7,0,25469,81559,25,116.19,
2026/02/02 11:47:11.229,0,0,25475,81559,28,119.35,
2026/02/02 11:47:11.230,1,0,25523,81559,30,118.92,
2026/02/02 11:47:11.231,2,0,25523,81559,28,120.69,
2026/02/02 11:47:11.232,3,0,25171,81559,27,119.79,
2026/02/02 11:47:11.233,4,0,25781,81559,30,117.97,
2026/02/02 11:47:11.234,5,0,25829,81559,27,116.79,
2026/02/02 11:47:11.239,6,0,25829,81559,27,120.18,
2026/02/02 11:47:11.244,7,0,25469,81559,25,116.20,
2026/02/02 11:47:12.420,0,0,25475,81559,28,119.35,
2026/02/02 11:47:12.421,1,0,25523,81559,30,118.94,
2026/02/02 11:47:12.422,2,0,25523,81559,28,120.72,
2026/02/02 11:47:12.423,3,0,25171,81559,27,119.86,
2026/02/02 11:47:12.424,4,0,25781,81559,30,117.97,
2026/02/02 11:47:12.425,5,0,25829,81559,27,116.77,
2026/02/02 11:47:12.426,6,0,25829,81559,27,120.18,
2026/02/02 11:47:12.431,7,0,25469,81559,25,116.20,
2026/02/02 11:47:13.571,0,0,25475,81559,28,119.35,
2026/02/02 11:47:13.579,1,0,25523,81559,30,118.96,
2026/02/02 11:47:13.582,2,0,25523,81559,28,120.71,
2026/02/02 11:47:13.587,3,0,25171,81559,27,119.98,
2026/02/02 11:47:13.592,4,0,25781,81559,30,117.97,
2026/02/02 11:47:13.593,5,0,25829,81559,27,116.79,
2026/02/02 11:47:13.599,6,0,25829,81559,27,120.22,
2026/02/02 11:47:13.611,7,0,25469,81559,25,116.10,
