timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw
2026/02/02 09:37:27.355,5,92,77617,81559,36,299.17
2026/02/02 09:37:27.364,6,92,77177,81559,41,310.57
2026/02/02 09:37:27.373,7,90,76677,81559,34,303.98
2026/02/02 09:37:28.693,0,91,76757,81559,41,304.56
2026/02/02 09:37:28.705,1,91,77241,81559,40,294.14
2026/02/02 09:37:28.722,2,92,77065,81559,37,295.10
2026/02/02 09:37:28.734,3,91,76551,81559,41,309.06
2026/02/02 09:37:28.745,4,91,77115,81559,43,300.63
2026/02/02 09:37:28.755,5,92,77617,81559,36,292.15
2026/02/02 09:37:28.767,6,92,77177,81559,40,301.80
2026/02/02 09:37:28.788,7,91,76677,81559,34,295.88
2026/02/02 09:37:30.226,0,92,76757,81559,41,307.95
2026/02/02 09:37:30.240,1,92,77241,81559,40,296.37
2026/02/02 09:37:30.250,2,91,77065,81559,37,301.21
2026/02/02 09:37:30.268,3,92,76551,81559,41,311.20
2026/02/02 09:37:30.281,4,91,77115,81559,43,303.52
2026/02/02 09:37:30.296,5,91,77617,81559,36,293.99
2026/02/02 09:37:30.318,6,90,77177,81559,41,306.12
2026/02/02 09:37:30.325,7,91,76677,81559,34,296.05
2026/02/02 09:37:31.679,0,93,76757,81559,41,305.96
2026/02/02 09:37:31.692,1,92,77241,81559,40,298.22
2026/02/02 09:37:31.708,2,91,77065,81559,37,301.00
2026/02/02 09:37:31.718,3,91,76551,81559,41,313.07
2026/02/02 09:37:31.727,4,92,77115,81559,43,301.62
2026/02/02 09:37:31.735,5,90,77617,81559,35,296.22
2026/02/02 09:37:31.742,6,91,77177,81559,41,304.90
2026/02/02 09:37:31.752,7,91,76677,81559,34,296.98
2026/02/02 09:37:33.032,0,92,76757,81559,41,305.50
2026/02/02 09:37:33.044,1,92,77241,81559,40,296.79
2026/02/02 09:37:33.055,2,91,77065,81559,37,299.04
2026/02/02 09:37:33.075,3,91,76551,81559,42,312.96
2026/02/02 09:37:33.097,4,90,77115,81559,43,302.70
2026/02/02 09:37:33.111,5,88,77617,81559,35,296.50
2026/02/02 09:37:33.117,6,92,77177,81559,41,306.00
2026/02/02 09:37:33.124,7,91,76677,81559,34,296.31
2026/02/02 09:37:34.363,0,89,76757,81559,41,305.79
2026/02/02 09:37:34.373,1,88,77241,81559,40,298.43
2026/02/02 09:37:34.380,2,91,77065,81559,37,299.60
2026/02/02 09:37:34.385,3,91,76551,81559,41,311.96
2026/02/02 09:37:34.390,4,92,77115,81559,43,303.26
2026/02/02 09:37:34.395,5,92,77617,81559,36,295.13
2026/02/02 09:37:34.423,6,91,77177,81559,40,306.09
2026/02/02 09:37:34.437,7,92,76677,81559,34,297.92
2026/02/02 09:37:35.700,0,91,76757,81559,41,307.67
2026/02/02 09:37:35.712,1,90,77241,81559,40,299.41
2026/02/02 09:37:35.722,2,92,77065,81559,37,300.33
2026/02/02 09:37:35.742,3,92,76551,81559,41,313.62
2026/02/02 09:37:35.751,4,91,77115,81559,43,302.55
2026/02/02 09:37:35.764,5,92,77617,81559,36,294.58
2026/02/02 09:37:35.777,6,93,77177,81559,41,306.11
2026/02/02 09:37:35.798,7,91,76677,81559,34,298.74
2026/02/02 09:37:37.073,0,91,76757,81559,41,303.82
2026/02/02 09:37:37.085,1,88,77241,81559,40,297.15
2026/02/02 09:37:37.094,2,90,77065,81559,37,295.44
2026/02/02 09:37:37.100,3,90,76551,81559,41,310.50
2026/02/02 09:37:37.106,4,90,77115,81559,43,300.87
2026/02/02 09:37:37.122,5,87,77617,81559,35,291.27
2026/02/02 09:37:37.153,6,91,77177,81559,40,301.84
2026/02/02 09:37:37.161,7,91,76677,81559,34,294.39
2026/02/02 09:37:38.559,0,92,76757,81559,41,300.47
2026/02/02 09:37:38.583,1,90,77241,81559,40,295.10
2026/02/02 09:37:38.596,2,91,77065,81559,37,294.02
2026/02/02 09:37:38.604,3,90,76551,81559,41,309.17
2026/02/02 09:37:38.618,4,90,77115,81559,43,298.89
2026/02/02 09:37:38.630,5,91,77617,81559,35,290.83
2026/02/02 09:37:38.640,6,91,77177,81559,40,299.57
2026/02/02 09:37:38.651,7,91,76677,81559,34,292.57
2026/02/02 09:37:39.886,0,93,76757,81559,41,296.45
2026/02/02 09:37:39.898,1,91,77241,81559,40,290.68
2026/02/02 09:37:39.908,2,87,77065,81559,37,292.04
2026/02/02 09:37:39.917,3,89,76551,81559,41,306.06
2026/02/02 09:37:39.925,4,88,77115,81559,43,294.74
2026/02/02 09:37:39.931,5,87,77617,81559,35,286.56
2026/02/02 09:37:39.937,6,91,77177,81559,40,298.02
2026/02/02 09:37:39.943,7,92,76677,81559,34,289.68
2026/02/02 09:37:41.196,0,92,76757,81559,41,298.93
2026/02/02 09:37:41.220,1,92,77241,81559,39,291.26
2026/02/02 09:37:41.231,2,92,77065,81559,37,291.64
2026/02/02 09:37:41.241,3,90,76551,81559,41,306.55
2026/02/02 09:37:41.246,4,90,77115,81559,43,294.71
2026/02/02 09:37:41.252,5,91,77617,81559,35,287.71
2026/02/02 09:37:41.256,6,91,77177,81559,40,297.07
2026/02/02 09:37:41.261,7,90,76677,81559,34,287.98
2026/02/02 09:37:42.483,0,91,76757,81559,41,294.60
2026/02/02 09:37:42.495,1,92,77241,81559,39,289.43
2026/02/02 09:37:42.504,2,93,77065,81559,37,289.96
2026/02/02 09:37:42.511,3,91,76551,81559,41,304.45
2026/02/02 09:37:42.517,4,91,77115,81559,43,293.20
2026/02/02 09:37:42.522,5,92,77617,81559,35,286.21
2026/02/02 09:37:42.527,6,87,77177,81559,40,297.02
2026/02/02 09:37:42.539,7,91,76677,81559,34,286.83
2026/02/02 09:37:43.858,0,92,76757,81559,41,295.29
2026/02/02 09:37:43.870,1,93,77241,81559,39,289.81
2026/02/02 09:37:43.880,2,93,77065,81559,37,289.07
2026/02/02 09:37:43.886,3,93,76551,81559,41,305.08
2026/02/02 09:37:43.892,4,91,77115,81559,43,292.47
2026/02/02 09:37:43.898,5,93,77617,81559,35,287.92
2026/02/02 09:37:43.914,6,93,77177,81559,40,295.35
2026/02/02 09:37:43.942,7,91,76677,81559,34,287.05
2026/02/02 09:37:45.342,0,92,76757,81559,41,294.58
2026/02/02 09:37:45.355,1,93,77241,81559,39,288.15
2026/02/02 09:37:45.365,2,91,77065,81559,37,288.28
2026/02/02 09:37:45.372,3,92,76551,81559,41,301.35
2026/02/02 09:37:45.378,4,92,77115,81559,43,291.49
2026/02/02 09:37:45.383,5,90,77617,81559,35,283.20
2026/02/02 09:37:45.398,6,93,77177,81559,40,293.64
2026/02/02 09:37:45.405,7,93,76677,81559,34,285.10
2026/02/02 09:37:46.821,0,93,76757,81559,41,296.88
2026/02/02 09:37:46.836,1,92,77241,81559,40,290.32
2026/02/02 09:37:46.845,2,92,77065,81559,37,289.61
2026/02/02 09:37:46.852,3,93,76551,81559,41,305.16
2026/02/02 09:37:46.858,4,93,77115,81559,43,293.96
2026/02/02 09:37:46.873,5,91,77617,81559,35,285.98
2026/02/02 09:37:46.884,6,93,77177,81559,40,296.48
2026/02/02 09:37:46.890,7,93,76677,81559,34,288.30
2026/02/02 09:37:48.157,0,91,76757,81559,41,295.40
2026/02/02 09:37:48.171,1,90,77241,81559,40,289.15
2026/02/02 09:37:48.182,2,91,77065,81559,37,291.35
2026/02/02 09:37:48.195,3,90,76551,81559,41,301.27
2026/02/02 09:37:48.222,4,88,77115,81559,42,291.10
2026/02/02 09:37:48.240,5,89,77617,81559,35,283.15
2026/02/02 09:37:48.272,6,90,77177,81559,40,294.80
2026/02/02 09:37:48.283,7,91,76677,81559,34,286.65
2026/02/02 09:37:49.557,0,91,76757,81559,41,292.88
2026/02/02 09:37:49.570,1,90,77241,81559,39,288.48
2026/02/02 09:37:49.580,2,90,77065,81559,36,288.04
2026/02/02 09:37:49.587,3,88,76551,81559,41,303.87
2026/02/02 09:37:49.595,4,91,77115,81559,43,290.85
2026/02/02 09:37:49.630,5,89,77617,81559,35,283.90
2026/02/02 09:37:49.659,6,88,77177,81559,40,293.84
2026/02/02 09:37:49.678,7,87,76677,81559,34,288.18
