timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:40:19.793,5,3,51924,81559,31,119.86,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:19.806,6,3,51022,81559,35,124.93,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:19.832,7,3,49442,81559,29,118.37,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:21.456,0,3,49390,81559,35,124.08,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:21.470,1,3,49126,81559,33,120.20,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:21.496,2,3,48988,81559,31,122.29,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:21.516,3,3,49248,81559,34,123.85,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:21.530,4,3,50538,81559,37,123.80,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:21.556,5,3,51924,81559,31,119.47,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:21.569,6,3,51022,81559,35,124.35,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:21.600,7,3,49442,81559,29,118.22,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:23.332,0,17,30580,81559,35,127.45,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:23.343,1,10,30514,81559,33,123.88,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:23.351,2,9,30514,81559,31,125.70,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:23.359,3,10,29798,81559,34,126.57,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
